crewtype,region,gacc_pl,national_pl,drawndown,mobile,staffing
Crew 2,NRCC,5,1,0,0,0
Crew 2,NRCC,5,2,0,0,0
Crew 2,NRCC,5,3,0,0,0
Crew 2,NRCC,5,4,0,0,0
Crew 2,NRCC,5,5,0,0,0
Crew 2,GBCC,1,1,3,0,3
Crew 2,GBCC,1,2,3,0,3
Crew 2,GBCC,1,3,3,0,3
Crew 2,GBCC,1,4,3,0,3
Crew 2,GBCC,1,5,3,0,3
Crew 2,GBCC,2,1,3,0,3
Crew 2,GBCC,2,2,3,0,3
Crew 2,GBCC,2,3,3,0,3
Crew 2,GBCC,2,4,3,0,3
Crew 2,GBCC,2,5,3,0,3
Crew 2,GBCC,3,1,3,0,3
Crew 2,GBCC,3,2,3,0,3
Crew 2,GBCC,3,3,3,0,3
Crew 2,GBCC,3,4,3,0,3
Crew 2,GBCC,3,5,3,0,3
Crew 2,GBCC,4,1,3,0,3
Crew 2,GBCC,4,2,3,0,3
