crewtype,region,gacc_pl,national_pl,drawndown,mobile,mobile_rate,staffing
Crew 2IA,NRCC,2,3,9,0,0,9
Crew 2IA,NRCC,2,4,5,4,44,9
Crew 2IA,NRCC,2,5,5,4,44,9
Crew 2IA,NRCC,3,1,9,0,0,9
Crew 2IA,NRCC,3,2,9,0,0,9
Crew 2IA,NRCC,3,3,7,2,22,9
Crew 2IA,NRCC,3,4,9,0,0,9
Crew 2IA,NRCC,3,5,7,2,22,9
Crew 2IA,NRCC,4,1,9,0,0,9
Crew 2IA,NRCC,4,2,9,0,0,9
Crew 2IA,NRCC,4,3,9,0,0,9
Crew 2IA,NRCC,4,4,7,2,22,9
Crew 2IA,NRCC,4,5,9,0,0,9
Crew 2IA,NRCC,5,1,9,0,0,9
Crew 2IA,NRCC,5,2,9,0,0,9
Crew 2IA,NRCC,5,3,9,0,0,9
Crew 2IA,NRCC,5,4,9,0,0,9
Crew 2IA,NRCC,5,5,9,0,0,9
Crew 2IA,GBCC,1,1,4,3,42,7
Crew 2IA,GBCC,1,2,4,3,42,7
Crew 2IA,GBCC,1,3,4,3,42,7
Crew 2IA,GBCC,1,4,4,3,42,7
Crew 2IA,GBCC,1,5,7,0,0,7
Crew 2IA,GBCC,2,1,4,3,42,7
Crew 2IA,GBCC,2,2,7,0,0,7
Crew 2IA,GBCC,2,3,7,0,0,7
Crew 2IA,GBCC,2,4,4,3,42,7
Crew 2IA,GBCC,2,5,7,0,0,7
Crew 2IA,GBCC,3,1,7,0,0,7
Crew 2IA,GBCC,3,2,7,0,0,7
Crew 2IA,GBCC,3,3,7,0,0,7
Crew 2IA,GBCC,3,4,7,0,0,7
Crew 2IA,GBCC,3,5,6,1,14,7
Crew 2IA,GBCC,4,1,7,0,0,7
Crew 2IA,GBCC,4,2,7,0,0,7
Crew 2IA,GBCC,4,3,7,0,0,7
Crew 2IA,GBCC,4,4,6,1,14,7
Crew 2IA,GBCC,4,5,7,0,0,7
Crew 2IA,GBCC,5,1,7,0,0,7
